Year,Month,Lab,Total_TiB,CGSB_TiB,Gencore_TiB
2026,May,Abreu,2.647,2.110,0.537
2026,May,Bayer,0.007,0.007,0.000
2026,May,Bergelson,90.241,80.926,9.315
2026,May,BioClasses,0.404,0.000,0.404
2026,May,Birnbaum,41.234,36.855,4.379
2026,May,Blau,0.299,0.000,0.299
2026,May,Bonneau,20.093,20.093,0.000
2026,May,Carlton,35.144,32.087,3.057
2026,May,Carmofon,0.427,0.000,0.427
2026,May,Christiaen,0.819,0.000,0.819
2026,May,Church,8.250,8.250,0.000
2026,May,Core,0.356,0.000,0.356
2026,May,Coruzzi,42.164,34.090,8.074
2026,May,Desplan,57.926,53.831,4.095
2026,May,Disotell,0.004,0.000,0.004
2026,May,Egrin,7.692,7.692,0.000
2026,May,Eichenberger,0.137,0.000,0.137
2026,May,Ercan,79.971,73.368,6.603
2026,May,Fitch,0.258,0.000,0.258
2026,May,Gainetdinov,53.235,49.450,3.785
2026,May,Ghedin,9.371,0.000,9.371
2026,May,Gresham,56.757,46.621,10.136
2026,May,Gunsalus,0.090,0.000,0.090
2026,May,Gunsiano,6.685,6.685,0.000
2026,May,Herati,1.272,0.000,1.272
2026,May,Hochwagen,39.208,37.372,1.836
2026,May,Huang,6.642,5.342,1.300
2026,May,Li,0.371,0.180,0.191
2026,May,Mazzoni,24.988,21.242,3.746
2026,May,Pascual,71.723,71.723,0.000
2026,May,Purugganan,12.578,0.000,12.578
2026,May,Regen,0.135,0.000,0.135
2026,May,Regulon,1.069,0.988,0.081
2026,May,Rocha,72.685,72.685,0.000
2026,May,Rockman,83.955,70.969,12.986
2026,May,Rojas,0.001,0.000,0.001
2026,May,Rushlow,0.315,0.000,0.315
2026,May,Sanjana,13.755,3.394,10.360
2026,May,Satija,2.933,0.000,2.933
2026,May,Scicchitano,1.357,0.000,1.357
2026,May,Siegal,45.798,42.990,2.807
2026,May,Small,0.015,0.000,0.015
2026,May,Smith,4.610,0.466,4.144
2026,May,Vogel,0.226,0.000,0.226
2026,May,Winchell,2.337,0.000,2.337
